name,label
abies_grandis,Abies grandis - Giant Fir
abies_nordmanniana,Abies nordmanniana - Caucasian Fir
abies_pinsapo,Abies pinsapo - Spanish Fir
acer_campestre,Acer campestre - Field Maple
acer_cappadocicum,Acer cappadocicum - Cappadocian Maple
acer_japonicum,Acer japonicum - Downy Japanese-maple
acer_negundo,Acer negundo - Ashleaf Maple
acer_palmatum,Acer palmatum - Smooth Japanese-maple
acer_platanoides,Acer platanoides - Norway Maple
acer_pseudoplatanus,Acer pseudoplatanus - Sycamore 
acer_rubrum,Acer rubrum - Red Maple
acer_saccharinum,Acer saccharinum - Silver Maple
aesculus_hippocastanum,Aesculus hippocastanum - Horse-chestnut 
aesculus_indica,Aesculus indica - Indian Horse-chestnut
ailanthus_altissima,Ailanthus altissima - Tree-of-heaven 
alnus_cordata,Alnus cordata - Italian Alder
alnus_glutinosa,Alnus glutinosa - Alder 
alnus_incana,Alnus incana - Grey Alder
alnus_rubra,Alnus rubra - Red Alder
alnus_viridis,Alnus viridis - Green Alder
araucaria_araucana,Araucaria araucana - Monkey-puzzle 
arbutus_unedo,Arbutus unedo - Strawberry-tree 
betula_papyrifera,Betula papyrifera - Paper Birch
betula_pendula,Betula pendula - Silver Birch
betula_pubescens,Betula pubescens - Downy Birch
buxus_sempervirens,Buxus sempervirens - Box 
capinus_betulus,Carpinus betulus - Hornbeam 
carpobrotus_edulis,Carpobrotus edulis - Hottentot-fig 
castanea_sativa,Castanea sativa - Sweet Chestnut
catalpa_bignonioides,Catalpa bignonioides - Indian-bean-tree 
cedrus_deodara,Cedrus deodara - Deodar 
cedrus_libani,Cedrus libani - Cedar-of-Lebanon 
cephalotaxus_fortunei,Cephalotaxus fortunei - Chinese Plum-yew
cercis_siliquastrum,Cercis siliquastrum - Judas-tree 
chamaecyparis_lawsoniana,Chamaecyparis lawsoniana - Lawson's Cypress
chamaecyparis_pisifera,Chamaecyparis pisifera - Sawara Cypress
clerodendrum_trichotomum,Clerodendrum trichotomum - Harlequin Glorybower
cordyline_australis,Cordyline australis - Cabbage-palm 
cornus_florida,Cornus florida - Flowering Dogwood
cornus_sanguinea,Cornus sanguinea - Dogwood 
corylus_avellana,Corylus avellana - Hazel 
corylus_colurna,Corylus colurna - Turkish Hazel
cotinus_coggygria,Cotinus coggygria - Smoke-tree 
cotoneaster_frigidus,Cotoneaster frigidus - Tree Cotoneaster
cotoneaster_lucidus,Cotoneaster lucidus - Shiny Cotoneaster
crataegus_curs-galli,Crataegus crus-galli - Cockspurthorn 
crataegus_monogyna,Crataegus monogyna - Hawthorn 
